game_pk,f5_away_runs,f5_home_runs,f5_outcome
824206,4,1,AWAY
824205,4,1,AWAY
824450,7,2,AWAY
824448,3,2,AWAY
824449,2,0,AWAY
824203,2,1,AWAY
824199,3,1,AWAY
824197,7,2,AWAY
824196,5,1,AWAY
822838,0,1,HOME
823564,2,2,TIE
823643,1,0,AWAY
823642,1,0,AWAY
824378,2,1,AWAY
823480,2,4,HOME
823479,1,0,AWAY
823477,5,1,AWAY
824690,0,1,HOME
824689,2,5,HOME
823877,2,1,AWAY
823874,1,0,AWAY
823470,2,1,AWAY
823466,6,0,AWAY
823384,3,7,HOME
823465,2,2,TIE
823945,1,2,HOME
823649,4,9,HOME
823651,0,0,TIE
823647,2,2,TIE
823080,2,1,AWAY
823077,0,2,HOME
823078,0,0,TIE
823648,3,2,AWAY
823646,5,0,AWAY
823645,0,1,HOME
823644,7,3,AWAY
823964,0,4,HOME
823965,1,1,TIE
823963,1,2,HOME
824693,3,7,HOME
824694,1,1,TIE
824691,1,0,AWAY
823640,0,3,HOME
823641,1,2,HOME
823639,2,7,HOME
823638,1,1,TIE
823635,1,1,TIE
824363,0,0,TIE
824362,2,1,AWAY
825088,1,1,TIE
825089,1,2,HOME
823632,2,3,HOME
824202,0,7,HOME
823705,0,3,HOME
823703,1,4,HOME
824701,2,6,HOME
824458,1,1,TIE
824459,0,0,TIE
823002,2,4,HOME
822999,4,0,AWAY
824695,0,0,TIE
824697,3,1,AWAY
824696,6,3,AWAY
823481,2,9,HOME
823478,3,3,TIE
824692,1,5,HOME
824688,2,6,HOME
823960,4,8,HOME
824685,0,1,HOME
824683,2,4,HOME
824681,0,8,HOME
824600,0,7,HOME
824677,3,0,AWAY
824678,4,0,AWAY
823380,1,1,TIE
823054,1,1,TIE
823325,8,0,AWAY
825107,5,1,AWAY
824295,6,8,HOME
823728,3,5,HOME
824294,1,5,HOME
824289,1,6,HOME
824527,2,6,HOME
824284,1,5,HOME
824113,3,3,TIE
823631,2,1,AWAY
824280,2,1,AWAY
824273,0,0,TIE
823810,7,2,AWAY
823807,2,3,HOME
823806,2,2,TIE
824131,4,2,AWAY
823802,1,3,HOME
823883,3,1,AWAY
823881,0,3,HOME
824290,3,1,AWAY
824288,1,2,HOME
823799,2,2,TIE
823796,4,2,AWAY
823064,0,4,HOME
823789,0,7,HOME
823708,3,4,HOME
823787,4,3,AWAY
823785,0,6,HOME
822812,2,1,AWAY
823324,0,1,HOME
823402,0,2,HOME
823403,0,0,TIE
823319,1,1,TIE
825094,6,1,AWAY
823308,0,0,TIE
823303,6,0,AWAY
823305,2,0,AWAY
823790,2,6,HOME
823138,2,0,AWAY
823302,3,4,HOME
823299,3,0,AWAY
823297,4,0,AWAY
823296,1,0,AWAY
823294,4,2,AWAY
823722,7,1,AWAY
824614,1,1,TIE
825099,8,2,AWAY
825096,1,1,TIE
824606,1,5,HOME
824603,3,5,HOME
824601,4,3,AWAY
824598,1,3,HOME
824436,2,6,HOME
823625,7,0,AWAY
823081,1,1,TIE
823082,0,2,HOME
823079,6,4,AWAY
823809,1,0,AWAY
823732,3,3,TIE
823729,1,1,TIE
823000,6,1,AWAY
822997,2,3,HOME
822996,1,1,TIE
822998,0,3,HOME
823397,0,1,HOME
823394,5,4,AWAY
823393,2,4,HOME
822994,3,1,AWAY
822995,5,0,AWAY
822993,1,5,HOME
822992,1,3,HOME
822991,0,4,HOME
824446,0,2,HOME
824447,1,0,AWAY
824445,0,3,HOME
822984,1,3,HOME
822986,3,2,AWAY
822985,0,2,HOME
822818,7,3,AWAY
822817,3,0,AWAY
822815,0,0,TIE
822983,1,6,HOME
822982,2,5,HOME
823546,0,1,HOME
823544,0,0,TIE
822974,7,2,AWAY
823375,7,8,HOME
823373,0,9,HOME
823974,2,4,HOME
823971,4,4,TIE
823973,2,0,AWAY
825108,0,8,HOME
825106,0,1,HOME
823482,5,4,AWAY
825101,1,3,HOME
825098,1,2,HOME
825100,10,1,AWAY
823798,2,5,HOME
824686,1,6,HOME
824687,2,6,HOME
825092,0,2,HOME
825091,1,0,AWAY
825090,3,2,AWAY
825085,0,2,HOME
822903,1,7,HOME
824359,2,3,HOME
824358,7,2,AWAY
825082,1,2,HOME
825080,2,5,HOME
825081,0,7,HOME
